Num,Topic,Title,URL,Paragraph,Sentence,keyword1,category1,keyword2,category2,keyword3,category3,keyword4,category4,keyword5,category5,keyword6,category6,keyword7,category7
16,Biology,Amnesia,https://en.wikipedia.org/wiki/Amnesia,"Amnesia is a deficit in memory caused by brain damage or disease, but it can also be caused temporarily by the use of various sedatives and hypnotic drugs. The memory can be either wholly or partially lost due to the extent of damage that was caused. There are two main types of amnesia: retrograde amnesia and anterograde amnesia. Retrograde amnesia is the inability to retrieve information that was acquired before a particular date, usually the date of an accident or operation. In some cases the memory loss can extend back decades, while in others the person may lose only a few months of memory. Anterograde amnesia is the inability to transfer new information from the short-term store into the long-term store. People with anterograde amnesia cannot remember things for long periods of time. These two types are not mutually exclusive; both can occur simultaneously.",There are two main types of amnesia: retrograde amnesia and anterograde amnesia.,retrograde amnesia,KeyTerm,anterograde amnesia,KeyTerm,.,.,.,.,.,.,.,.,.,.
17,Astronomy,Black hole,https://en.wikipedia.org/wiki/Black_hole,"A black hole is a region of spacetime where gravity is so strong that nothing?no particles or even electromagnetic radiation such as light?can escape from it. The theory of general relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole. The boundary of the region from which no escape is possible is called the event horizon. Although the event horizon has an enormous effect on the fate and circumstances of an object crossing it, it has no locally detectable features. In many ways, a black hole acts like an ideal black body, as it reflects no light. Moreover, quantum field theory in curved spacetime predicts that event horizons emit Hawking radiation, with the same spectrum as a black body of a temperature inversely proportional to its mass. This temperature is on the order of billionths of a kelvin for black holes of stellar mass, making it essentially impossible to observe.",The boundary of the region from which no escape is possible is called the event horizon.,event horizon,KeyTerm,.,.,.,.,.,.,.,.,.,.,.,.
18,Astronomy,Eclipse,https://en.wikipedia.org/wiki/Eclipse,"An eclipse is an astronomical event that occurs when an astronomical object or spacecraft is temporarily obscured, by passing into the shadow of another body or by having another body pass between it and the viewer. This alignment of three celestial objects is known as a syzygy. Apart from syzygy, the term eclipse is also used when a spacecraft reaches a position where it can observe two celestial bodies so aligned. An eclipse is the result of either an occultation (completely hidden) or a transit (partially hidden). The term eclipse is most often used to describe either a solar eclipse, when the Moon's shadow crosses the Earth's surface, or a lunar eclipse, when the Moon moves into the Earth's shadow. However, it can also refer to such events beyond the Earth?Moon system: for example, a planet moving into the shadow cast by one of its moons, a moon passing into the shadow cast by its host planet, or a moon passing into the shadow of another moon. A binary star system can also produce eclipses if the plane of the orbit of its constituent stars intersects the observer's position.",This alignment of three celestial objects is known as a syzygy.,syzygy,KeyTerm,.,.,.,.,.,.,.,.,.,.,.,.
19,Astronomy,Eclipse,https://en.wikipedia.org/wiki/Eclipse,"An eclipse is an astronomical event that occurs when an astronomical object or spacecraft is temporarily obscured, by passing into the shadow of another body or by having another body pass between it and the viewer. This alignment of three celestial objects is known as a syzygy. Apart from syzygy, the term eclipse is also used when a spacecraft reaches a position where it can observe two celestial bodies so aligned. An eclipse is the result of either an occultation (completely hidden) or a transit (partially hidden). The term eclipse is most often used to describe either a solar eclipse, when the Moon's shadow crosses the Earth's surface, or a lunar eclipse, when the Moon moves into the Earth's shadow. However, it can also refer to such events beyond the Earth?Moon system: for example, a planet moving into the shadow cast by one of its moons, a moon passing into the shadow cast by its host planet, or a moon passing into the shadow of another moon. A binary star system can also produce eclipses if the plane of the orbit of its constituent stars intersects the observer's position.",An eclipse is the result of either an occultation (completely hidden) or a transit (partially hidden).,occultation,KeyTerm,transit,KeyTerm,.,.,.,.,.,.,.,.,.,.
20,Geology,Pangaea,https://en.wikipedia.org/wiki/Pangaea,"Pangaea was a supercontinent that existed during the late Paleozoic and early Mesozoic eras. It assembled from earlier continental units approximately 335 million years ago, and it began to break apart about 175 million years ago. In contrast to the present Earth and its distribution of continental mass, Pangaea was centred on the Equator and surrounded by the superocean Panthalassa. Pangaea is the most recent supercontinent to have existed and the first to be reconstructed by geologists.",Pangaea was a supercontinent that existed during the late Paleozoic and early Mesozoic eras.,late Palezoic eras,Ages,early Mesozoic era,Ages,.,.,.,.,.,.,.,.,.,.
21,Geology,Pangaea,https://en.wikipedia.org/wiki/Pangaea,"Pangaea was a supercontinent that existed during the late Paleozoic and early Mesozoic eras. It assembled from earlier continental units approximately 335 million years ago, and it began to break apart about 176 million years ago. In contrast to the present Earth and its distribution of continental mass, Pangaea was centred on the Equator and surrounded by the superocean Panthalassa. Pangaea is the most recent supercontinent to have existed and the first to be reconstructed by geologists.","It assembled from earlier continental units approximately 335 million years ago, and it began to break apart about 175 million years ago.",335 million years,Year,175 million year,Year,.,.,.,.,.,.,.,.,.,.
22,History,Romanticism,https://en.wikipedia.org/wiki/Romanticism,"Romanticism (also known as the Romantic era) was an artistic, literary, musical and intellectual movement that originated in Europe towards the end of the 18th century, and in most areas was at its peak in the approximate period from 1800 to 1890. Romanticism was characterized by its emphasis on emotion and individualism as well as glorification of all the past and nature, preferring the medieval rather than the classical.   It was partly a reaction to the Industrial Revolution, the aristocratic social and political norms of the Age of Enlightenment, and the scientific rationalization of nature?all components of modernity. It was embodied most strongly in the visual arts, music, and literature, but had a major impact on historiography, education, the social sciences, and the natural sciences. It had a significant and complex effect on politics, with romantic thinkers influencing liberalism, radicalism, conservatism, and nationalism.","Romanticism was characterized by its emphasis on emotion and individualism as well as glorification of all the past and nature, preferring the medieval rather than the classical.",individualism,KeyTerm,glorification,KeyTerm,,.,.,.,.,.,.,.,.,.
23,History,Romanticism,https://en.wikipedia.org/wiki/Romanticism,"Romanticism (also known as the Romantic era) was an artistic, literary, musical and intellectual movement that originated in Europe towards the end of the 18th century, and in most areas was at its peak in the approximate period from 1800 to 1891. Romanticism was characterized by its emphasis on emotion and individualism as well as glorification of all the past and nature, preferring the medieval rather than the classical.   It was partly a reaction to the Industrial Revolution, the aristocratic social and political norms of the Age of Enlightenment, and the scientific rationalization of nature?all components of modernity. It was embodied most strongly in the visual arts, music, and literature, but had a major impact on historiography, education, the social sciences, and the natural sciences. It had a significant and complex effect on politics, with romantic thinkers influencing liberalism, radicalism, conservatism, and nationalism."," It was partly a reaction to the Industrial Revolution,[1] the aristocratic social and political norms of the Age of Enlightenment, and the scientific rationalization of nature?all components of modernity.",Industrial Revolution,KeyTerm,Age of Enlightenment,KeyTerm,scientific rationalization,KeyTerm,modernity,KeyTerm,.,.,.,.,.,.
24,Physics,Viscosity,https://en.wikipedia.org/wiki/Viscosity,"The viscosity of a fluid is a measure of its resistance to deformation at a given rate. For liquids, it corresponds to the informal concept of ""thickness"": for example, syrup has a higher viscosity than water. Viscosity can be conceptualized as quantifying the internal frictional force that arises between adjacent layers of fluid that are in relative motion. For instance, when a fluid is forced through a tube, it flows more quickly near the tube's axis than near its walls. In such a case, experiments show that some stress (such as a pressure difference between the two ends of the tube) is needed to sustain the flow through the tube.  This is because a force is required to overcome the friction between the layers of the fluid which are in relative motion: the strength of this force is proportional to the viscosity. ","For liquids, it corresponds to the informal concept of ""thickness"": for example, syrup has a higher viscosity than water.",thickness,KeyTerm,.,.,.,.,.,.,.,.,.,.,.,.
25,Physics,Viscosity,https://en.wikipedia.org/wiki/Viscosity,"The viscosity of a fluid is a measure of its resistance to deformation at a given rate. For liquids, it corresponds to the informal concept of ""thickness"": for example, syrup has a higher viscosity than water. Viscosity can be conceptualized as quantifying the internal frictional force that arises between adjacent layers of fluid that are in relative motion. For instance, when a fluid is forced through a tube, it flows more quickly near the tube's axis than near its walls. In such a case, experiments show that some stress (such as a pressure difference between the two ends of the tube) is needed to sustain the flow through the tube.  This is because a force is required to overcome the friction between the layers of the fluid which are in relative motion: the strength of this force is proportional to the viscosity. ",Viscosity can be conceptualized as quantifying the internal frictional force that arises between adjacent layers of fluid that are in relative motion.,internal frictional force,KeyTerm,.,.,.,.,.,.,.,.,.,.,.,.
26,Society,Vandalism,https://en.wikipedia.org/wiki/Vandalism,"Vandalism is the action involving deliberate destruction of or damage to public or private property. The definition of vandalism allows to distinguish hostile behavior aimed to damage or destroy the object, instrumental behavior consisting of damage or destruction caused to an object as a mean to achieve other goals (appropriation of another's property, sabotage), and behavior motivated by a desire to express oneself through the degradation of objects as well as a play vandalism (breaking window panes).The term includes property damage, such as graffiti and defacement directed towards any property without permission of the owner. The term finds its roots in an Enlightenment view that the Germanic Vandals were a uniquely destructive people.",Vandalism is the action involving deliberate destruction of or damage to public or private property.,deliberate destruction,KeyTerm,public or private property,KeyTerm,.,.,.,.,.,.,.,.,.,.
27,Astronomy,Sun,https://en.wikipedia.org/wiki/Sun,"The Sun is the star at the center of the Solar System. It is a nearly perfect sphere of hot plasma, with internal convective motion that generates a magnetic field via a dynamo process. It is by far the most important source of energy for life on Earth. Its diameter is about 1.39 million kilometers (864,000 miles), or 109 times that of Earth, and its mass is about 330,000 times that of Earth. It accounts for about 99.86% of the total mass of the Solar System. Roughly three quarters of the Sun's mass consists of hydrogen (~73%); the rest is mostly helium (~25%), with much smaller quantities of heavier elements, including oxygen, carbon, neon, and iron.",The Sun is the star at the center of the Solar System.,Solar system,KeyTerm,.,.,.,.,.,.,.,.,.,.,.,.
28,Astronomy,Sun,https://en.wikipedia.org/wiki/Sun,"The Sun is the star at the center of the Solar System. It is a nearly perfect sphere of hot plasma, with internal convective motion that generates a magnetic field via a dynamo process. It is by far the most important source of energy for life on Earth. Its diameter is about 1.39 million kilometers (864,000 miles), or 109 times that of Earth, and its mass is about 330,000 times that of Earth. It accounts for about 99.86% of the total mass of the Solar System. Roughly three quarters of the Sun's mass consists of hydrogen (~73%); the rest is mostly helium (~26%), with much smaller quantities of heavier elements, including oxygen, carbon, neon, and iron.","It is a nearly perfect sphere of hot plasma,[18][19] with internal convective motion that generates a magnetic field via a dynamo process.",plasma,KeyTerm,internal convection motion,KeyTerm,magnetic field,KeyTerm,.,.,.,.,.,.,.,.
29,Astronomy,Sun,https://en.wikipedia.org/wiki/Sun,"The Sun is the star at the center of the Solar System. It is a nearly perfect sphere of hot plasma, with internal convective motion that generates a magnetic field via a dynamo process. It is by far the most important source of energy for life on Earth. Its diameter is about 1.39 million kilometers (864,000 miles), or 109 times that of Earth, and its mass is about 330,000 times that of Earth. It accounts for about 99.86% of the total mass of the Solar System. Roughly three quarters of the Sun's mass consists of hydrogen (~73%); the rest is mostly helium (~27%), with much smaller quantities of heavier elements, including oxygen, carbon, neon, and iron.","Its diameter is about 1.39 million kilometers (864,000 miles), or 109 times that of Earth, and its mass is about 330,000 times that of Earth.",1.39 million killometers,Distance,109,Number,"330,000",Number,.,.,.,.,.,.,.,.
30,History,Sumer,https://en.wikipedia.org/wiki/Sumer,"Sumer is the earliest known civilization in the historical region of southern Mesopotamia (now southern Iraq), emerging during the Chalcolithic and early Bronze Ages between the sixth and fifth millennium BC. It is also one of the first civilizations in the world, along with Ancient Egypt, Norte Chico, Minoan civilization, Ancient China and the Indus Valley. Living along the valleys of the Tigris and Euphrates, Sumerian farmers grew an abundance of grain and other crops, the surplus from which enabled them to form urban settlements. Prehistoric proto-writing dates back before 3000 BC. The earliest texts come from the cities of Uruk and Jemdet Nasr, and date to between roughly c. 3500 and c. 3000 BC.","Sumer is the earliest known civilization in the historical region of southern Mesopotamia (now southern Iraq), emerging during the Chalcolithic and early Bronze Ages between the sixth and fifth millennium BC.",southern Mesopotamia,Place,Chalcolithic and early Bronze Ages,Ages,sixth and fifth millennium BC,Year,.,.,.,.,.,.,.,.
31,History,Sumer,https://en.wikipedia.org/wiki/Sumer,"Sumer is the earliest known civilization in the historical region of southern Mesopotamia (now southern Iraq), emerging during the Chalcolithic and early Bronze Ages between the sixth and fifth millennium BC. It is also one of the first civilizations in the world, along with Ancient Egypt, Norte Chico, Minoan civilization, Ancient China and the Indus Valley. Living along the valleys of the Tigris and Euphrates, Sumerian farmers grew an abundance of grain and other crops, the surplus from which enabled them to form urban settlements. Prehistoric proto-writing dates back before 3000 BC. The earliest texts come from the cities of Uruk and Jemdet Nasr, and date to between roughly c. 3500 and c. 3001 BC.","Living along the valleys of the Tigris and Euphrates, Sumerian farmers grew an abundance of grain and other crops, the surplus from which enabled them to form urban settlements.",Tigris,Place,Euphrates,Place,.,.,.,.,.,.,.,.,.,.
32,Music,Jazz,https://en.wikipedia.org/wiki/Jazz,"Jazz is a music genre that originated in the African-American communities of New Orleans, United States, in the late 19th and early 20th centuries, with its roots in blues and ragtime. Since the 1920s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music, linked by the common bonds of African-American and European-American musical parentage. Jazz is characterized by swing and blue notes, call and response vocals, polyrhythms and improvisation. Jazz has roots in West African cultural and musical expression, and in African-American music traditions.","Jazz is a music genre that originated in the African-American communities of New Orleans, United States,[1] in the late 19th and early 20th centuries, with its roots in blues and ragtime.",African-American,KeyTerm,New Orleans,Place,United States,Place,late 19th and early 20th centuries,Ages,.,.,.,.,.,.
33,Music,Jazz,https://en.wikipedia.org/wiki/Jazz,"Jazz is a music genre that originated in the African-American communities of New Orleans, United States, in the late 19th and early 20th centuries, with its roots in blues and ragtime. Since the 1921s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music, linked by the common bonds of African-American and European-American musical parentage. Jazz is characterized by swing and blue notes, call and response vocals, polyrhythms and improvisation. Jazz has roots in West African cultural and musical expression, and in African-American music traditions.","Jazz has roots in West African cultural and musical expression, and in African-American music traditions.",West African,KeyTerm,African-American,KeyTerm,.,.,.,.,.,.,.,.,.,.
34,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
35,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
36,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
37,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
38,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
39,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
40,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
41,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
42,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
43,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
44,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
45,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
46,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
47,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
48,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
49,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
50,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
